query-id	corpus-id	score
que0001	ans0001	1
que0002	ans0002	1
que0003	ans0003	1
que0004	ans0004	1
que0005	ans0005	1
que0006	ans0006	1
que0007	ans0007	1
que0008	ans0008	1
que0009	ans0009	1
que0010	ans0010	1
que0011	ans0011	1
que0012	ans0012	1
que0013	ans0013	1
que0014	ans0014	1
que0015	ans0015	1
que0016	ans0016	1
que0017	ans0017	1
que0018	ans0018	1
que0019	ans0019	1
que0020	ans0020	1
que0021	ans0021	1
que0022	ans0022	1
que0023	ans0023	1
que0024	ans0024	1
que0025	ans0025	1
que0026	ans0026	1
que0027	ans0027	1
que0028	ans0028	1
que0029	ans0029	1
que0030	ans0030	1
que0031	ans0031	1
que0032	ans0032	1
que0033	ans0033	1
que0034	ans0034	1
que0035	ans0035	1
que0036	ans0036	1
que0037	ans0037	1
que0038	ans0038	1
que0039	ans0039	1
que0040	ans0040	1
que0041	ans0041	1
que0042	ans0042	1
que0043	ans0043	1
que0044	ans0044	1
que0045	ans0045	1
que0046	ans0046	1
que0047	ans0047	1
que0048	ans0048	1
que0049	ans0049	1
que0050	ans0050	1
que0051	ans0051	1
que0052	ans0052	1
que0053	ans0053	1
que0054	ans0054	1
que0055	ans0055	1
que0056	ans0056	1
que0057	ans0057	1
que0058	ans0058	1
que0059	ans0059	1
que0060	ans0060	1
que0061	ans0061	1
que0062	ans0062	1
que0063	ans0063	1
que0064	ans0064	1
que0065	ans0065	1
que0066	ans0066	1
que0067	ans0067	1
que0068	ans0068	1
que0069	ans0069	1
que0070	ans0070	1
que0071	ans0071	1
que0072	ans0072	1
que0073	ans0073	1
que0074	ans0074	1
que0075	ans0075	1
que0076	ans0076	1
que0077	ans0077	1
que0078	ans0078	1
que0079	ans0079	1
que0080	ans0080	1
que0081	ans0081	1
que0082	ans0082	1
que0083	ans0083	1
que0084	ans0084	1
que0085	ans0085	1
que0086	ans0086	1
que0087	ans0087	1
que0088	ans0088	1
que0089	ans0089	1
que0090	ans0090	1
que0091	ans0091	1
que0092	ans0092	1
que0093	ans0093	1
que0094	ans0094	1
que0095	ans0095	1
que0096	ans0096	1
que0097	ans0097	1
que0098	ans0098	1
que0099	ans0099	1
que0100	ans0100	1
que0101	ans0101	1
que0102	ans0102	1
que0103	ans0103	1
que0104	ans0104	1
